Afghanistan Kabul Albania Tirana
Algeria Algiers Angola Luanda
Armenia Yerevan Aruba Oranjestad
Australia Canberra Austria Vienna
Azerbaijan Baku Bahamas Nassau
Barbados Bridgetown Belarus Minsk 	
Belgium Brussels Brazil Brasília
Cameroon Yaoundé Canada Ottawa
Bermuda Hamilton Chile Santiago
China Beijing Colombia Bogotá
Ecuador Quito Egypt Cairo
Eritrea Asmara Estonia Tallinn
Fiji Suva Finland Helsinki
Germany Berlin France Paris
Tunisia Tunis Greece Athens
Greenland Nuuk Guinea Conakry
Hungary Budapest Iceland Reykjavík
Indonesia Jakarta Iran Tehran
Iraq Baghdad Ireland Dublin
Israel Jerusalem Italy Rome
Jamaica Kingston Japan Tokyo
Jordan Amman Kazakhstan Astana
Lebanon Beirut Lesotho Maseru
Liberia Monrovia Libya Tripoli
Denmark Copenhagen Lithuania Vilnius
Mali Bamako Malta Valletta
Montenegro Podgorica Montserrat Plymouth
Netherlands Amsterdam Nicaragua Managua
Paraguay Asunción Peru Lima
Philippines Manila Poland Warsaw
Portugal Lisbon Qatar Doha
Romania Bucharest Russia Moscow
Scotland Edinburgh Senegal Dakar
Serbia Belgrade Seychelles Victoria
Singapore Singapore Slovakia Bratislava
Spain Madrid Sweden Stockholm
Switzerland Bern Syria Damascus
Turkey Ankara Turkmenistan Ashgabat
Ukraine Kiev Uruguay Montevideo
Wales Cardiff Palestine Jerusalem
